name;traditional_funding_before;traditional_funding_after;%;profit;blockchain;single;token_utility_product;only_payment;transaction;generation;other_usage;main_value;voting_shareholder;voting_product;voting_other;profit_sharing;info;coin_offered;cap_money;same_price;expensive;cap_time;bitcoin;Ethereum;other_bc;bs;other_p;transaction_fee
ÊAgoras Tokens;0;0;1;0;1;1;0;0;1;1;0;3;0;0;0;0;0;0,5;1;1;0;0;1;0;0;0;0;0
ÊSantiment Net...;0;0;1;1;1;0;1;1;0;0;0;1;0;0;0;0;1;0,75;1;1;0;1;0;1;0;0;0;1
ÊNeosCoin;0;0;1;0;1;1;0;1;1;1;0;3;0;0;0;0;1;0,05;1;0;1;1;1;0;0;0;1;0
ÊCofound.it;0;0;1;1;1;0;1;1;0;0;0;1;0;0;0;0;1;0,25;1;1;0;1;0;1;0;0;0;0
ÊBCAP;1;0;0,77;1;0;0;1;1;0;0;0;1;0;0;0;1;1;1;1;1;0;1;0;1;0;0;0;0
ÊChronobank;1;0;0,57;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0,88;0;1;0;1;1;1;1;0;1;0
ÊNexium;0;0;1;1;1;0;1;1;0;0;0;1;0;0;0;0;1;0,7;1;0;1;1;0;1;1;0;0;0
ÊPatientory;0;0;1;1;1;0;1;1;0;0;0;1;0;0;0;0;1;0,7;1;0;1;1;0;1;0;0;0;0
ÊPluton;0;0;1;0;1;0;0;1;1;0;0;3;0;0;0;0;0;0,04;1;0;1;1;1;1;0;0;0;0
ÊSaluS;0;0;1;0;1;1;0;0;1;1;0;3;0;0;0;0;0;1;0;1;0;1;1;0;0;0;1;0
ÊLuckChain;0;0;1;1;1;1;1;1;0;0;0;1;0;0;0;0;1;0,9;1;0;1;1;0;0;0;0;1;0
ÊMatchpool;0;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0;1;0,6;1;0;1;1;0;1;0;1;0;0
ÊMonaco;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0,3;1;0;1;1;0;1;0;0;0;0
ÊMothership;0;0;1;1;1;1;1;0;0;0;0;1;0;0;0;1;1;0,7;1;1;0;1;0;1;0;0;0;0
ÊEncryptoTel;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0,7;1;0;1;1;1;1;1;0;0;0
ÊBitcrystals;0;0;1;1;1;0;1;1;0;0;0;1;0;1;0;0;1;0,7;1;0;1;1;1;0;0;0;1;0
ÊRise;0;0;1;0;1;0;0;0;1;0;0;3;0;0;1;0;1;0,88;1;0;1;1;1;0;1;0;1;0
ÊGambit;0;0;1;1;1;0;1;1;0;0;0;1;0;0;0;0;0;1;1;1;0;1;0;0;0;0;1;0
ÊNimiq;0;0;1;0;1;0;0;0;1;1;0;3;0;0;0;0;0;0,5;1;0;1;1;0;1;0;0;0;0
ÊLunyr;0;0;1;0;0;0;1;1;0;0;0;1;0;0;1;0;1;0,78;1;1;0;1;0;1;0;0;0;0
