name	traditional_funding_before	traditional_funding_after	%	profit	blockchain	single	token_utility_product	only_payment	transaction	generation	other_usage	voting_shareholder	voting_product	voting_other	profit_sharing	info	funding	coin_offered	cap_money	same_price	expensive	ICO_days	cap_time	bitcoin	Ethereum	other_bc	bs	other_p	transaction_fee	u_access_service	u_profit_sharing	u_transaction	u_other
Melon	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	1	2900000	0.4	1	1	0	0.006944444	1	0	1	0	0	0	1	1	0	0	0
Xaurum	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	851342	1	0	0	0	13	1	1	1	1	0	1	0	0	0	1	0
BitBay	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	390000	1	1	0	1	4	1	1	0	0	0	0	0	1	0	0	0
DigitalNote	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	1	595312	0.15	1	0	1	29	1	1	0	0	0	1	0	0	0	1	0
TaaS	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	7635601	1	1	1	0	31	1	1	1	1	0	1	0	0	1	0	0
Synereo 1	0	1	0.512	0	1	1	1	1	0	1	0	0	0	0	0	1	126023	0.19	1	0	1	30	1	1	0	0	0	1	0	1	0	0	0
Synereo 2	1	0	0.95025842	0	1	1	1	1	0	1	0	0	0	0	0	1	4700000	0.03	1	0	1	30	1	1	0	0	0	1	0	1	0	0	0
ION	0	0	1	1	1	1	1	1	0	1	0	0	0	0	0	1	500000	0.46	1	0	1	42	1	0	0	0	0	1	0	1	0	0	0
Quantum Resis...	0	0	1	0	1	1	0	0	1	1	0	0	0	1	0	1	4160000	0.5	1	1	0	24	1	1	1	0	0	0	0	0	0	1	0
Mysterium	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	1	14380000	0.89	1	0	1	0.03125	1	0	1	0	1	0	1	1	0	0	0
Rialto	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	10000000	1	1	0	1	7	1	1	1	0	0	1	0	1	0	0	0
adToken	0	0	1	1	1	0	1	1	0	0	1	0	0	1	0	1	7697932	0.5	1	1	0	0.000347222	1	0	1	0	0	0	1	1	0	0	0
Golos	0	0	1	0	1	1	1	1	0	0	0	0	0	1	0	1	453000	0.6	1	0	1	34	0	1	0	1	0	0	0	1	0	0	0
Safe Exchange...	0	0	1	1	1	1	0	0	0	0	1	0	1	1	1	1	50579	0.99	0	0	1	45	1	1	0	1	0	0	0	0	1	0	0
Ecobit	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	5000000	1	1	0	1	68	1	1	1	1	0	0	0	0	1	0	0
Polybius	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	32298489	0.93	0	0	1	30	1	1	1	0	0	1	0	0	1	0	0
TokenCard	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	12700000	0.65	1	0	1	0.020833333	1	0	1	1	1	0	1	1	0	0	0
Wagerr	0	0	1	1	1	1	1	1	0	0	0	1	1	0	0	0	10000000	0.85	1	0	1	21	1	1	0	0	0	1	0	1	0	0	0
OBITS	0	0	1	1	1	1	0	0	1	0	0	1	1	0	1	1	725550	0.7	1	0	1	62	1	1	0	1	0	1	0	0	1	0	0
Voxels	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	18400000	0.15	1	0	1	42	1	1	0	0	0	0	0	1	0	0	0
Databits	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	1069525	0.7	1	0	1	30	1	1	0	0	0	1	0	1	0	0	0
Bankcoin	0	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	1000000	0.72	1	0	1	45	1	1	1	1	0	0	0	0	0	1	0
WeTrust	0	0	1	1	1	0	1	1	0	0	0	0	0	1	0	1	5000000	0.8	1	0	1	12	1	1	1	0	0	0	0	1	0	0	0
SONM	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	42000000	0.75	1	1	0	4	1	0	1	0	0	0	0	1	0	0	0
Agoras Tokens	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	2000000	0.5	1	1	0	100	0	1	0	0	0	0	0	0	0	1	0
Santiment Net...	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	11700000	0.75	1	1	0	1	1	0	1	0	0	0	1	1	0	0	0
NeosCoin	0	0	1	0	1	1	0	1	1	1	0	0	0	0	0	1	68750	0.05	1	0	1	21	1	1	0	0	0	1	0	0	0	1	0
Cofound.it	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	14859095	0.25	1	1	0	3	1	0	1	0	0	0	0	1	0	0	0
BCAP	1	0	0.769230769	1	0	0	1	1	0	0	0	0	0	0	1	1	10000000	1	1	1	0	0.25	1	0	1	0	0	0	0	1	0	0	0
Chronobank	1	0	0.574468085	1	0	0	1	0	0	0	0	0	0	0	0	1	5400000	0.88	0	1	0	60	1	1	1	1	0	1	0	1	0	0	0
Nexium	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	324266.1745	0.7	1	0	1	30	1	0	1	1	0	0	0	1	0	0	0
E-coin	0	0	1	0	1	1	0	1	1	0	0	1	1	1	0	1	4000000	0.63	0	0	1	100	0	1	1	1	0	1	0	0	0	1	0
Patientory	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	7200000	0.7	1	0	1	4	1	0	1	0	0	0	0	1	0	0	0
Pluton	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1000000	0.04	1	0	1	30	1	1	1	0	0	0	0	0	0	1	0
SaluS	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	18276.18	1	0	1	0	13	1	1	0	0	0	1	0	0	0	1	0
ToaCoin	0	0	1	1	0	1	1	0	0	1	1	0	0	0	0	1	1000000	0.63	0	1	0	10	1	0	0	0	0	1	0	1	0	0	0
HEAT	0	0	1	1	1	1	0	1	1	1	0	0	0	0	0	1	900000	0.63	0	1	0	30	1	1	1	1	0	0	0	0	0	1	0
Matchpool	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	5700000	0.6	1	0	1	2	1	0	1	0	1	0	0	1	0	0	0
Monaco	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	25000000	0.3	1	0	1	30	1	0	1	0	0	0	0	1	0	0	0
Mothership	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	5406897	0.7	1	1	0	12	1	0	1	0	0	0	0	1	0	0	0
EncryptoTel	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1	4429211	0.7	1	0	1	37	1	1	1	1	0	0	0	1	0	0	0
Bitcrystals	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	1	584478	0.7	1	0	1	30	1	1	0	0	0	1	0	1	0	0	0
Rise	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	935000	0.88	1	0	1	45	1	1	0	1	0	1	0	0	0	1	0
Gambit	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	119400	1	1	1	0	14	1	0	0	0	0	1	0	1	0	0	0
Nimiq	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	18000000	0.5	1	0	1	10	1	0	1	0	0	0	0	0	0	1	0
Lunyr	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	3400000	0.78	1	1	0	28	1	0	1	0	0	0	0	1	0	0	0
