name,traditional_funding_before,traditional_funding_after,profit,blockchain,single,token_utility_product,only_payment,transaction,generation,other_usage,main_value,voting_shareholder,voting_product,voting_other,profit_sharing,info,cap_money,same_price,expensive,cap_time,bitcoin,Ethereum,other_bc,bs,other_p,transaction_fee
 LuckChain,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0
 ToaCoin,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
 HEAT,0,0,1,1,1,0,1,1,1,0,3,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0
 Matchpool,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0
 Monaco,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0
 Mothership,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0
 EncryptoTel,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0
 Bitcrystals,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0
 Rise,0,0,0,1,0,0,0,1,0,0,3,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0
 Gambit,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
 Nimiq,0,0,0,1,0,0,0,1,1,0,3,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
 Lunyr,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0
