name,traditional_funding_before,traditional_funding_after,%,profit,opensource_solution,nonprofit_cryptocurrency,existence_m,fte,blockchain,single,token_utility_product,only_payment,transaction,generation,other_usage,voting_shareholder,voting_product,voting_other,profit_sharing,non-dividend_return,info,funding,coin_offered,cap_money,same_price,expensive,cheaper,price_ratio,start_date,ICO_days,cap_time,bitcoin,Ethereum,other_bc,bs,other_p,minimum_pledge,high_transaction_fee,u_access_service,u_profit_sharing,u_transaction,u_other,platform_used,bigger_than_10m,mojority_offered,In_2017,traditional_funding,sold_fast,big_team,funding_standardized
DigixDAO,0,0,1,1,0,0,24,3,1,0,0,1,0,0,1,1,1,0,1,1,1,5500000,0.85,1,0,1,0,1.3,Mar-16,0.5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0.018273526
OmiseGo,1,0,0.55,1,0,0,49,58,1,0,1,1,0,0,0,0,0,0,0,0,1,25000000,0.65,1,1,0,0,1,Jun-17,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0.083277486
Komodo,0,0,1,0,0,1,30,Unknown,1,1,0,1,1,1,0,0,0,0,0,0,1,1983781,0.90,1,0,1,0,1.25,Oct-16,35,1,1,0,1,0,0,0.01,0,0,0,1,0,0,0,1,0,0,0,1,0.0065520819
TenX,1,0,0.97,1,0,0,24,9,1,0,0,0,0,0,0,0,0,0,1,1,1,34000000,0.80,1,0,1,0,1.2,Jul-17,0.004,1,1,1,1,0,1,5.71,1,0,1,0,0,1,1,1,1,1,1,0,0.1132793138
MobileGo,0,0,1,1,0,0,12,100+,0,0,1,1,0,0,1,0,0,0,1,1,1,53000000,0.70,0,0,1,0,1.22,Apr-17,30,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0.1766165057
Metal,1,0,0.9535476063,1,0,0,Unknown,7,1,0,0,1,1,0,0,0,0,0,0,0,1,2000000,0.29,1,0,1,0,3.6,Jun-17,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0.0066061485
SingularDTV,0,0,1,1,0,0,12,Unknown,0,0,1,0,0,0,1,0,0,0,1,1,1,7500000,0.50,1,1,0,0,1,Oct-16,0.02,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0.0249405988
SysCoin,0,0,1,1,0,0,Unknown,Unknown,1,1,1,1,0,1,0,0,0,0,0,0,1,600000,0.15,1,0,1,0,1.1139784946,Aug-14,25,1,0,0,0,0,1,100,0,1,0,0,0,1,0,0,0,0,0,1,0.0019391975
FirstBlood,0,0,1,1,0,0,3,6,1,0,1,0,0,0,1,0,0,0,0,0,1,5500000,0.85,1,1,0,0,1,Sep-16,0.02,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0.018273526
Aragon,0,0,1,0,1,0,Unknown,2,1,0,1,0,0,1,1,1,1,1,0,0,1,25000000,0.70,1,1,0,0,1,May-17,0.02,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0.083277486
Ark,0,0,1,0,1,0,Unknown,20,1,1,1,1,0,0,1,0,0,1,0,0,1,998000,0.75,0,0,1,0,1.7,Nov-16,35,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0.003265945
Metaverse Ent...,0,0,1,1,0,0,Unknown,17,1,1,1,1,0,1,0,0,0,0,0,0,1,2250000,0.22,1,1,0,0,1,Aug-16,31,1,1,0,0,0,1,150,0,1,0,0,0,1,0,0,0,0,0,1,0.0074395326
FunFair,0,0,1,1,0,0,12,20,0,0,1,1,0,0,0,0,0,0,0,0,1,26000000,0.21,1,1,0,0,1,Jun-17,0.1666666667,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0.0866110225
Nexus,0,0,1,1,0,0,36,5,0,0,1,1,0,0,0,0,0,0,0,0,1,6492286,0.95,1,0,1,0,1.55,Jul-17,28,1,0,1,0,0,0,8,0,1,0,0,0,0,0,1,1,0,0,0,0.0215813475
DECENT,0,0,1,0,1,0,12,Unknown,1,1,1,1,0,0,1,0,0,0,0,0,1,4740000,0.70,1,0,1,0,2.5,Sep-16,56,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0.0157400383
Blocknet,0,0,1,1,0,0,Unknown,Unknown,1,1,1,1,0,0,0,0,0,0,0,0,0,950064.46610545,0.6323,1,1,0,0,1,Oct-14,30,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0031061502
Edgeless,0,0,1,1,0,0,Unknown,7,1,0,1,0,0,0,1,0,0,0,1,0,1,2000000,0.88,1,0,1,0,1.1,Feb-17,21,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0.0066061485
ReddCoin,0,0,1,0,0,1,Unknown,Unknown,1,1,0,1,1,1,0,0,0,0,0,0,1,100000,0.05,1,1,0,0,1,Jan-14,26,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0002724293
Round,0,0,1,1,0,0,Unknown,Unknown,1,0,1,1,0,1,0,0,0,0,0,0,0,650000,0.63,1,1,0,0,1,Nov-16,0.01,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0.0021058744
Peerplays,1,0,0.5263,1,0,0,12,7,1,1,0,0,0,0,1,1,1,0,1,0,1,5000000,0.16,1,0,1,0,1.09,Feb-17,84,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.0166067578
Wings,0,0,1,0,1,0,Unknown,12,1,0,1,1,0,0,1,0,0,1,0,1,1,1400000,0.75,1,0,1,0,1.3,Nov-16,49,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.0046060267
